num_threads,base,ep,epos
1,34003.5,33054.5,23369.0
2,24943.0,21817.5,14515.0
4,17108.0,13145.5,10918.5
8,12580.5,12409.5,7833.5
16,9989.0,9542.0,5632.5
32,8497.5,8279.5,5131.0
64,7862.5,7825.5,4709.0
128,8056.5,8011.5,5381.0
