num_threads,par_base,par_ep,par_ep+os,rayon_base,rayon_ep,rayon_ep+os,spark
0,4135.2,3666.4,3609.4,3378.2,3636.6,2975.4,4430.1
1,3499.8,2951.6,2971.2,2734.0,2764.6,2307.4,5374.0
2,3394.4,3108.4,3116.0,2865.4,2891.2,2438.4,4866.8
4,3602.0,3177.2,3165.8,2954.2,3012.2,2589.8,4691.4
8,4011.2,3598.6,3577.4,3338.4,3386.2,3063.2,4902.1
16,3855.0,3644.6,3771.6,3531.6,3494.4,3635.2,5339.1
