num_threads,base,ep,epos
1,598415.0,553465.5,367423.5
2,372529.0,318636.5,203788.0
4,236097.5,194094.0,135827.0
8,202931.5,147486.0,112380.0
16,163962.0,111726.5,93079.5
32,135939.0,81575.0,79359.5
64,128293.0,78011.0,75691.5
128,131389.0,78996.5,73865.0
