num_threads,base,ep,epos
1, 171070.333333, 137864.000000, 113454.000000
2, 110055.000000, 84755.666667, 69922.000000
4, 77588.666667, 47894.000000, 46889.000000
8, 65515.666667, 44820.666667, 36025.666667
16, 58945.333333, 35430.666667, 29093.333333
32, 58975.000000, 32485.000000, 26590.333333
64, 58609.000000, 31803.000000, 26655.333333
128, 58982.333333, 32752.333333, 26246.666667
