file,nodes,edges,naive,par_base,par_ep,par_ep+os,rayon_base,rayon_ep,rayon_ep+os
syn/syn50000.mtx,50000,50000,5.8,53.4,51.4,53.8,50.2,47.4,47.6
syn/syn100000.mtx,50000,100000,8.8,78.2,80.0,76.0,74.6,73.0,72.6
syn/syn200000.mtx,50000,200000,17.2,126.4,125.2,121.6,123.6,124.2,118.8
syn/syn500000.mtx,50000,500000,40.0,194.0,183.0,183.6,219.2,218.6,229.0
syn/syn1000000.mtx,50000,1000000,77.6,226.2,213.4,214.0,354.2,379.0,349.6
syn/syn1500000.mtx,50000,1500000,115.6,217.0,204.8,221.8,439.4,503.8,452.6
syn/syn2000000.mtx,50000,2000000,155.8,217.4,209.6,225.0,568.2,699.6,595.0
