num_threads,par_base,par_ep,par_ep+os,rayon_base,rayon_ep,rayon_ep+os
0,1305.2,1270.4,1262.6,1306.4,1264.8,1177.0
1,1189.6,1139.6,1149.4,1165.4,1180.8,1071.2
2,1193.2,1160.4,1160.6,1280.6,1170.2,1052.8
4,1323.0,1291.4,1299.6,1477.0,1263.6,1146.4
8,1266.0,1268.8,1281.2,1283.0,1263.6,1159.8
16,1365.8,1167.2,1198.4,1263.4,1224.0,1105.0
