num_threads,base,ep,epos,spark
1,178.6666,155.0,145.6666,7514.339209
2,132.0,111.3333333,102.0,7624.526024
4,98.666,76.333333,73.0,7412.908792
8,80.666,68.0,58.6666,7703.102827
