num_threads,base,ep,epos
1,37924.333333333336,37342.0,27403.333333333332
2,21123.666666666668,20581.666666666668,15249.666666666666
4,13318.666666666666,12913.333333333334,9280.0
8,10781.0,10427.666666666666,7148.666666666667
