num_threads,base,ep,epos
1,59376.0,44322.666666666664,44071.666666666664
2,38769.666666666664,23627.666666666668,23288.333333333332
4,28580.666666666668,13487.0,13200.0
8,24910.0,9687.0,9451.666666666666
